market,general
age,age
gender,gender
birthplace,birthplace
accra,accra
married,married
ethnicity,ethnicity
education,education
left_ghana,left_ghana
left_ghana_location,left_ghana_location
work_status,work_status
work_sector,work_sector
income_source,income_source
weekly_monthly,weekly_monthly
income_individual,income_individual
income_month_household,income_month_household
financial_decision,financial_decision
care,care
care_live,care_live
transport_weekly,transport_weekly
food_weekly,food_weekly
monthly_expenses,monthly_expenses
monthly_expenses_amount,monthly_expenses_amount
business_investment,business_investment
business_ownership,business_ownership
business_length,business_length
business_employees,business_employees
religion,religion
religion_birth,religion_birth
denomination,denomination
different_church,different_church
church_reasons,church_reasons
church_assistance,church_assistance
church_attendance,church_attendance
church_ministry,church_ministry
church_ministry_hours,church_ministry_hours
church_length,church_length
church_distance,church_distance
church_move,church_move
church_convince,church_convince
pray,pray
food,food
alcohol,alcohol
alcohol_reasons,alcohol_reasons
clothing,clothing
newborn,newborn
family_death,family_death
spiritual_attack,spiritual_attack
church_giving,church_giving
tithes,tithes
church_debt,church_debt
charity,charity
god_finances,god_finances
closefriends,closefriends
coworkers,coworkers
business_partners,business_partners
help_family,help_family
help_financial,help_financial
help_health,help_health
prayercamp,prayercamp
market_line,clubs
market_help,political_affiliation
kaneshie_association,political_taxes
kaneshie_years,spouse
kaneshie_dues,trust_ghana
auntie_eva,trust_ghana_govt
clubs,nih
political_affiliation,nih_reason
political_taxes,other_insurance
spouse,other_insurance_specify
trust_ghana,
trust_ghana_govt,
nih,
nih_reason,
other_insurance,
other_insurance_specify,
